TourType,CEP,Depot_ID,Tour_ID,Trip_ID,Unique_ID,O_zone,D_zone,N_parcels,Traveltime,TourDepTime,TripDepTime,TripEndTime,Type,TourDist,VehType,OrigType,DestType
0,PostNL,1,1.0_107,1.0_107_6,1.0_107_6_0,3,6,5,0.0283333333333333,22.74816565437984,27.324,0.0,Delivery,1.126,Van,Depot,HH
0,PostNL,1,1.0_107,1.0_107_7,1.0_107_7_0,6,10,22,0.0477777777777777,22.74816565437984,27.519,0.0,Delivery,1.272,Van,Depot,HH
0,PostNL,1,1.0_107,1.0_107_8,1.0_107_8_0,10,11,24,0.0486111111111111,22.74816565437984,28.3,0.0,Delivery,0.843,Van,Depot,HH
0,PostNL,1,1.0_107,1.0_107_9,1.0_107_9_0,11,12,8,0.0302777777777777,22.74816565437984,29.148,0.0,Delivery,0.749,Van,Depot,HH
0,PostNL,1,1.0_107,1.0_107_10,1.0_107_10_0,12,2668,0,0.2986111111111111,22.74816565437984,29.445,0.0,Delivery,15.493,Van,Depot,HH
0,PostNL,1,1.0_108,1.0_108_0,1.0_108_0_0,2668,81,27,0.3002777777777777,8.789279328451489,8.789,0.0,Delivery,15.943,Van,Depot,HH
0,PostNL,1,1.0_108,1.0_108_1,1.0_108_1_0,81,82,44,0.0475,8.789279328451489,9.99,0.0,Delivery,0.57,Van,Depot,HH
0,PostNL,1,1.0_108,1.0_108_2,1.0_108_2_0,82,20,14,0.0508333333333333,8.789279328451489,11.504,0.0,Delivery,1.274,Van,Depot,HH
0,PostNL,1,1.0_108,1.0_108_3,1.0_108_3_0,20,15,30,0.0569444444444444,8.789279328451489,12.021,0.0,Delivery,0.829,Van,Depot,HH
0,PostNL,1,1.0_108,1.0_108_4,1.0_108_4_0,15,23,2,0.0291666666666666,8.789279328451489,13.078,0.0,Delivery,2.967,Van,Depot,HH
0,PostNL,1,1.0_108,1.0_108_5,1.0_108_5_0,23,24,10,0.0158333333333333,8.789279328451489,13.174,0.0,Delivery,2.012,Van,Depot,HH
0,PostNL,1,1.0_108,1.0_108_6,1.0_108_6_0,24,16,16,0.0358333333333333,8.789279328451489,13.523,0.0,Delivery,0.689,Van,Depot,HH
0,PostNL,1,1.0_108,1.0_108_7,1.0_108_7_0,16,22,3,0.1236111111111111,8.789279328451489,14.092,0.0,Delivery,1.493,Van,Depot,HH
0,PostNL,1,1.0_108,1.0_108_8,1.0_108_8_0,22,31,1,0.0869444444444444,8.789279328451489,14.316,0.0,Delivery,0.947,Van,Depot,HH
0,PostNL,1,1.0_108,1.0_108_9,1.0_108_9_0,31,32,7,0.0391666666666666,8.789279328451489,14.436,0.0,Delivery,0.693,Van,Depot,HH
0,PostNL,1,1.0_108,1.0_108_10,1.0_108_10_0,32,33,13,0.0341666666666666,8.789279328451489,14.709,0.0,Delivery,0.497,Van,Depot,HH
0,PostNL,1,1.0_108,1.0_108_11,1.0_108_11_0,33,29,6,0.0477777777777777,8.789279328451489,15.176,0.0,Delivery,1.175,Van,Depot,HH
0,PostNL,1,1.0_108,1.0_108_12,1.0_108_12_0,29,25,1,0.0466666666666666,8.789279328451489,15.424,0.0,Delivery,2.389,Van,Depot,HH
0,PostNL,1,1.0_108,1.0_108_13,1.0_108_13_0,25,30,6,0.0611111111111111,8.789279328451489,15.504,0.0,Delivery,2.499,Van,Depot,HH
0,PostNL,1,1.0_108,1.0_108_14,1.0_108_14_0,30,2668,0,0.3008333333333333,8.789279328451489,15.765,0.0,Delivery,16.418,Van,Depot,HH
0,PostNL,1,1.0_109,1.0_109_0,1.0_109_0_0,2668,1500,9,0.2872222222222222,6.447893526175905,6.448,0.0,Delivery,15.02,Van,Depot,HH
0,PostNL,1,1.0_109,1.0_109_1,1.0_109_1_0,1500,1501,54,0.0416666666666666,6.447893526175905,7.035,0.0,Delivery,0.728,Van,Depot,HH
0,PostNL,1,1.0_109,1.0_109_2,1.0_109_2_0,1501,1502,16,0.0433333333333333,6.447893526175905,8.877,0.0,Delivery,0.593,Van,Depot,HH
